"pincode","city","state_code","cod","prepaid","pickup","zone"
"125104","Mandi Dabwali","Haryana","Y","Y","Y","Z4"
"125105","BHUNA","Haryana","Y","Y","N","Z4"
"125106","Ratia","Haryana","Y","Y","Y","Z4"
"125110","Sirsa","Haryana","Y","Y","Y","Z4"
"125111","Bhuna","Haryana","Y","Y","Y","Z4"
"125112","Hissar","Haryana","Y","Y","Y","Z4"
"125113","Barwala","Haryana","Y","Y","Y","Z4"
"125119","Tohana","Haryana","N","Y","N","Z4"
"125120","TOHANA","HARYANA","Y","Y","Y","Z4"
"125121","Barwala","Haryana","Y","Y","Y","Z4"
"125122","Barwala","Haryana","Y","Y","Y","Z4"
"125125","TOHANA","HARYANA","Y","Y","Y","Z4"
"125133","Ratia","Haryana","Y","Y","Y","Z4"
"125201","Kalanwali","Haryana","Y","Y","Y","Z4"
"126001","Tohana","Haryana","Y","Y","Y","Z4"
"126006","HISSAR","HARYANA","N","Y","N","Z4"
"126007","HISSAR","HARYANA","N","Y","N","Z4"
"126008","HISSAR","HARYANA","N","Y","Y","Z4"
"126009","HISSAR","Haryana","N","Y","N","Z4"
